id,category,image_context,prompt
7450,Coding,screenshot of a drag-and-drop kanban board with tasks,Identify the UI components in this kanban board and list them as a JSON array for a design system.
7451,Travel/Landmarks,photo of a traditional Japanese wooden shrine with cherry blossoms,What is the best time of year to visit Kyoto Shrine to take a photo like this?
7452,OCR/Extraction,photo of a laminated dinner menu,Find the date and total amount in this restaurant menu. Return only these two values.
7453,Fashion/Style,photo of a black leather biker jacket,Act as a stylist. Look at this leather jacket. What accessories would you pair with this for a formal event?
7454,Culinary/Food,photo of a classic pizza margherita with basil,Write a mouth-watering instagram caption for this photo of pizza margherita.
7455,Data Analysis,image of a scatter plot showing distribution of customer ages,Convert the data shown in this scatter plot into a CSV format.
7456,Nature/Biology,photo of a blooming yellow rose in a garden,Describe the habitat where you would typically find this garden flower.
7457,Creative Writing,night sky photo showing the Orion constellation,Describe this constellation using only metaphors and similes.
7458,Nature/Biology,underwater photo of colorful coral,Identify this coral reef. Is it poisonous or dangerous? Provide a scientific classification.
7459,Nature/Biology,photo of a small green frog on a lily pad,Describe the habitat where you would typically find this frog.
7460,Education,scan of a piano sheet music page,Create a quiz question based on the information in this sheet music.
7461,Home/DIY,photo of a wooden mid-century modern chair,Look at this mid-century chair. What tools would I likely need to fix or restore it?
7462,Education,map showing earth's tectonic plates,Act as a tutor. Explain the concept shown in this tectonic plates to a history buff.
7463,Education,diagram explaining the process of photosynthesis,Solve the problem shown in this photosynthesis. Show your work step-by-step.
7464,Data Analysis,image of a scatter plot showing distribution of customer ages,Convert the data shown in this scatter plot into a CSV format.
7465,Home/DIY,photo of a cordless power drill,Look at this power drill. What tools would I likely need to fix or restore it?
7466,Creative Writing,photo of Machu Picchu ruins in the Andes,Write a {writing_style} short story opening inspired by the atmosphere in this photo of Machu Picchu.
7467,Nature/Biology,photo of a large oak tree in a park,Describe the habitat where you would typically find this oak tree.
7468,Data Analysis,image of a scatter plot showing distribution of customer ages,Analyze this scatter plot. Summarize the key trend for a business executive.
7469,Creative Writing,photo of the Taj Mahal reflecting in the pool,Write a {writing_style} short story opening inspired by the atmosphere in this photo of Taj Mahal.
7470,Travel/Landmarks,photo of the Colosseum in Rome,What is the best time of year to visit Colosseum to take a photo like this?
7471,Education,chart showing nutritional food groups,Solve the problem shown in this food pyramid. Show your work step-by-step.
7472,Culinary/Food,photo of a steaming bowl of ramen with egg and pork,I have these ingredients shown in the ramen bowl image. What spice should I add to elevate the flavor?
7473,Education,photo of a textbook page showing a triangle with missing angles,Solve the problem shown in this geometry problem. Show your work step-by-step.
7474,Creative Writing,photo of a spider web with dew drops,Describe this spider web using only metaphors and similes.
7475,Creative Writing,photo of the Pyramids of Giza in the desert,Write a {writing_style} short story opening inspired by the atmosphere in this photo of Pyramids of Giza.
7476,Nature/Biology,photo of a small green frog on a lily pad,Describe the habitat where you would typically find this frog.
7477,Home/DIY,photo of a large monstera plant in a ceramic pot,Look at this houseplant. What tools would I likely need to fix or restore it?
7478,Creative Writing,photo of the Colosseum in Rome,Write a {writing_style} short story opening inspired by the atmosphere in this photo of Colosseum.
7479,Creative Writing,photo of a large oak tree in a park,Describe this oak tree using only metaphors and similes.
7480,Data Analysis,image of a forex trading chart with indicators,Convert the data shown in this candlestick chart into a CSV format.
7481,Coding,screenshot of a drag-and-drop kanban board with tasks,Act as a frontend developer. Convert this kanban board screenshot into production-ready {tech_stack}.
7482,Data Analysis,image of a sales funnel conversion chart,Analyze this funnel chart. Summarize the key trend for a business executive.
7483,Home/DIY,photo of a disorganized bookshelf filled with old books,Identify the style of this messy bookshelf. Suggest a color palette for a room that features this piece.
7484,Education,labeled diagram of an animal cell,Solve the problem shown in this cell structure. Show your work step-by-step.
7485,Coding,screenshot of a responsive top navigation bar with dropdown menus,Act as a frontend developer. Convert this navbar screenshot into production-ready {tech_stack}.
7486,Creative Writing,photo of white houses with blue domes in Santorini,Write a {writing_style} short story opening inspired by the atmosphere in this photo of Santorini.
7487,Creative Writing,photo of the Great Wall winding through mountains,Write a {writing_style} short story opening inspired by the atmosphere in this photo of Great Wall of China.
7488,Home/DIY,photo of a wooden mid-century modern chair,Identify the style of this mid-century chair. Suggest a color palette for a room that features this piece.
7489,Education,scan of a piano sheet music page,Act as a tutor. Explain the concept shown in this sheet music to a tourist.
7490,Creative Writing,photo of the Colosseum in Rome,Write a {writing_style} short story opening inspired by the atmosphere in this photo of Colosseum.
7491,Data Analysis,image of a line graph showing stock price trends,Analyze this line graph. Summarize the key trend for a business executive.
7492,Culinary/Food,photo of a grilled salmon fillet with asparagus,Write a mouth-watering instagram caption for this photo of grilled salmon.
7493,Nature/Biology,photo of a mountain goat on a cliff,Identify this mountain goat. Is it poisonous or dangerous? Provide a scientific classification.
7494,Culinary/Food,photo of three street tacos with salsa and lime,Write a mouth-watering instagram caption for this photo of tacos.
7495,Creative Writing,photo of a mountain goat on a cliff,Describe this mountain goat using only metaphors and similes.
7496,Creative Writing,photo of Big Ben and Parliament in London,Write a {writing_style} short story opening inspired by the atmosphere in this photo of Big Ben.
7497,Fashion/Style,photo of aviator sunglasses on a table,Identify the style and era of this sunglasses. Where could I buy something similar today?
7498,Coding,screenshot of an e-commerce checkout flow with credit card inputs,Identify the UI components in this checkout page and list them as a JSON array for a design system.
7499,Nature/Biology,photo of a spider web with dew drops,Identify this spider web. Is it poisonous or dangerous? Provide a scientific classification.
7500,Education,diagram of the planets orbiting the sun,Create a quiz question based on the information in this solar system model.
7501,Coding,screenshot of a scientific calculator interface,Act as a frontend developer. Convert this calculator app screenshot into production-ready {tech_stack}.
7502,OCR/Extraction,photo of a signed residential lease contract page,Find the date and total amount in this lease agreement. Return only these two values.
7503,Education,image of a color wheel for art theory,Solve the problem shown in this color wheel. Show your work step-by-step.
7504,Education,photo of a textbook page showing a triangle with missing angles,Create a quiz question based on the information in this geometry problem.
7505,Fashion/Style,photo of a pair of distressed blue jeans,Identify the style and era of this denim jeans. Where could I buy something similar today?
7506,Education,scan of a piano sheet music page,Solve the problem shown in this sheet music. Show your work step-by-step.
7507,Home/DIY,photo of a white shaker-style kitchen cabinet,How would you clean this kitchen cabinet without damaging the material?
7508,Fashion/Style,photo of a charcoal grey men's suit,Act as a stylist. Look at this formal suit. What accessories would you pair with this for a formal event?
7509,Data Analysis,image of a vertical bar chart comparing quarterly revenue,Analyze this bar chart. Summarize the key trend for a business executive.
7510,Coding,screenshot of a music player UI with album art and controls,Act as a frontend developer. Convert this music player screenshot into production-ready {tech_stack}.
7511,Home/DIY,photo of a cracked window pane,Identify the style of this broken window. Suggest a color palette for a room that features this piece.
7512,Home/DIY,photo of a cracked window pane,Look at this broken window. What tools would I likely need to fix or restore it?
7513,Education,schematic diagram of a simple electrical circuit,Solve the problem shown in this circuit diagram. Show your work step-by-step.
7514,Coding,screenshot of an e-commerce checkout flow with credit card inputs,Identify the UI components in this checkout page and list them as a JSON array for a design system.
7515,Home/DIY,photo of a wooden mid-century modern chair,Look at this mid-century chair. What tools would I likely need to fix or restore it?
7516,Fashion/Style,photo of a pair of distressed blue jeans,Identify the style and era of this denim jeans. Where could I buy something similar today?
7517,Education,visual chart showing fraction equivalents,Create a quiz question based on the information in this fraction chart.
7518,Coding,screenshot of an e-commerce checkout flow with credit card inputs,Act as a frontend developer. Convert this checkout page screenshot into production-ready {tech_stack}.
7519,Education,image of the periodic table of elements,Solve the problem shown in this periodic table. Show your work step-by-step.
7520,Education,"illustrated diagram showing evaporation, condensation, and precipitation",Create a quiz question based on the information in this water cycle diagram.
7521,Travel/Landmarks,photo of the Great Wall winding through mountains,What is the best time of year to visit Great Wall of China to take a photo like this?
7522,Education,chart showing nutritional food groups,Create a quiz question based on the information in this food pyramid.
7523,OCR/Extraction,photo of a laminated dinner menu,Extract the text from this restaurant menu and return it as {output_format}.
7524,Travel/Landmarks,photo of white houses with blue domes in Santorini,Translate the signage visible in this photo of Santorini into Spanish and explain the cultural context.
7525,Creative Writing,photo of Mount Fuji with snow cap,Write a {writing_style} short story opening inspired by the atmosphere in this photo of Mount Fuji.
7526,Culinary/Food,photo of three street tacos with salsa and lime,Write a mouth-watering instagram caption for this photo of tacos.
7527,Home/DIY,photo of hardwood flooring with a scratch,Identify the style of this wooden floor. Suggest a color palette for a room that features this piece.
7528,Fashion/Style,photo of aviator sunglasses on a table,Is this sunglasses appropriate for a business casual office environment?
7529,Fashion/Style,photo of a beige wool trench coat,Is this winter coat appropriate for a business casual office environment?
7530,Nature/Biology,photo of a green fern plant,Identify this fern. Is it poisonous or dangerous? Provide a scientific classification.
7531,Education,visual chart showing fraction equivalents,Act as a tutor. Explain the concept shown in this fraction chart to a college student.
7532,Culinary/Food,top-down photo of avocado toast with poached eggs,I have these ingredients shown in the avocado toast image. What spice should I add to elevate the flavor?
7533,Education,schematic diagram of a simple electrical circuit,Act as a tutor. Explain the concept shown in this circuit diagram to a chef.
7534,Creative Writing,photo of a mountain goat on a cliff,Describe this mountain goat using only metaphors and similes.
7535,Nature/Biology,photo of cumulonimbus clouds,Describe the habitat where you would typically find this cloud formation.
7536,Data Analysis,image of a color-coded correlation matrix heatmap,Analyze this heatmap. Summarize the key trend for a business executive.
7537,OCR/Extraction,image of a professional resume/CV,Find the date and total amount in this resume. Return only these two values.
7538,Coding,screenshot of a dark-mode analytics widget showing user retention stats,Identify the UI components in this dashboard widget and list them as a JSON array for a design system.
7539,Data Analysis,image of a pie chart showing market share,Convert the data shown in this pie chart into a CSV format.
7540,Home/DIY,photo of a brass tiffany-style lamp,Identify the style of this antique lamp. Suggest a color palette for a room that features this piece.
7541,Fashion/Style,photo of a beige wool trench coat,Is this winter coat appropriate for a business casual office environment?
7542,Education,diagram of the planets orbiting the sun,Act as a tutor. Explain the concept shown in this solar system model to a 5-year-old.
7543,Home/DIY,photo of a rusty garden trowel,Identify the style of this garden tool. Suggest a color palette for a room that features this piece.
7544,Creative Writing,photo of a blooming yellow rose in a garden,Describe this garden flower using only metaphors and similes.
7545,Creative Writing,photo of the Statue of Liberty in New York Harbor,Write a {writing_style} short story opening inspired by the atmosphere in this photo of Statue of Liberty.
7546,Nature/Biology,photo of a large oak tree in a park,Describe the habitat where you would typically find this oak tree.
7547,Fashion/Style,photo of a knitted wool scarf,Act as a stylist. Look at this scarf. What accessories would you pair with this for a formal event?
7548,Home/DIY,photo of a white shaker-style kitchen cabinet,Look at this kitchen cabinet. What tools would I likely need to fix or restore it?
7549,Data Analysis,image of a forex trading chart with indicators,Analyze this candlestick chart. Summarize the key trend for a business executive.
7550,Coding,screenshot of a weather widget showing temperature and forecast,Act as a frontend developer. Convert this weather widget screenshot into production-ready {tech_stack}.
7551,Education,diagram showing a chemical equation,Create a quiz question based on the information in this chemical reaction.
7552,Education,visual chart showing fraction equivalents,Solve the problem shown in this fraction chart. Show your work step-by-step.
7553,Education,image of an old map of Europe from the 18th century,Solve the problem shown in this historical map. Show your work step-by-step.
7554,Education,"illustrated diagram showing evaporation, condensation, and precipitation",Solve the problem shown in this water cycle diagram. Show your work step-by-step.
7555,Fashion/Style,photo of bright neon running shoes,Act as a stylist. Look at this running shoes. What accessories would you pair with this for a formal event?
7556,Fashion/Style,photo of a beige wool trench coat,Identify the style and era of this winter coat. Where could I buy something similar today?
7557,Education,map showing earth's tectonic plates,Act as a tutor. Explain the concept shown in this tectonic plates to an expert.
7558,Nature/Biology,photo of cumulonimbus clouds,Describe the habitat where you would typically find this cloud formation.
7559,Culinary/Food,photo of three street tacos with salsa and lime,Write a mouth-watering instagram caption for this photo of tacos.
7560,Fashion/Style,side-profile photo of limited edition colorful sneakers,Identify the style and era of this sneakers. Where could I buy something similar today?
7561,OCR/Extraction,photo of a laminated dinner menu,Find the date and total amount in this restaurant menu. Return only these two values.
7562,Home/DIY,photo of a rusty garden trowel,How would you clean this garden tool without damaging the material?
7563,Fashion/Style,close-up photo of a luxury mechanical wristwatch,Identify the style and era of this wristwatch. Where could I buy something similar today?
7564,Culinary/Food,photo of a slice of rich chocolate cake on a white plate,Write a mouth-watering instagram caption for this photo of chocolate cake.
7565,Data Analysis,image of a histogram showing frequency distribution,Convert the data shown in this histogram into a CSV format.
7566,Creative Writing,photo of the Golden Gate Bridge in fog,Write a {writing_style} short story opening inspired by the atmosphere in this photo of Golden Gate Bridge.
7567,Data Analysis,image of a vertical bar chart comparing quarterly revenue,Analyze this bar chart. Summarize the key trend for a business executive.
7568,Home/DIY,photo of a brass tiffany-style lamp,Identify the style of this antique lamp. Suggest a color palette for a room that features this piece.
7569,Home/DIY,photo of a cordless power drill,Look at this power drill. What tools would I likely need to fix or restore it?
7570,Home/DIY,photo of a handmade blue ceramic vase,Identify the style of this ceramic vase. Suggest a color palette for a room that features this piece.
7571,Education,scan of a piano sheet music page,Act as a tutor. Explain the concept shown in this sheet music to a history buff.
7572,Education,diagram of the human skeletal system,Act as a tutor. Explain the concept shown in this human skeleton to a 5-year-old.
7573,Home/DIY,photo of a white shaker-style kitchen cabinet,How would you clean this kitchen cabinet without damaging the material?
7574,Education,map showing earth's tectonic plates,Act as a tutor. Explain the concept shown in this tectonic plates to a history buff.
7575,OCR/Extraction,photo of an electricity bill with usage graphs,Find the date and total amount in this utility bill. Return only these two values.
7576,Home/DIY,photo of a disorganized bookshelf filled with old books,Identify the style of this messy bookshelf. Suggest a color palette for a room that features this piece.
7577,Data Analysis,image of a color-coded correlation matrix heatmap,Analyze this heatmap. Summarize the key trend for a business executive.
7578,Education,labeled diagram of an animal cell,Act as a tutor. Explain the concept shown in this cell structure to an expert.
7579,Education,diagram of the human skeletal system,Act as a tutor. Explain the concept shown in this human skeleton to an expert.
7580,Culinary/Food,photo of a colorful wok filled with stir-fried vegetables,Identify the dish in this image of vegetable stir-fry. Estimate the calories and suggest a {dietary_restriction} alternative.
7581,Nature/Biology,close-up macro photo of a red mushroom in the forest,Describe the habitat where you would typically find this wild mushroom.
7582,Fashion/Style,photo of black leggings/yoga pants,Act as a stylist. Look at this yoga pants. What accessories would you pair with this for a formal event?
7583,Travel/Landmarks,photo of the Treasury at Petra carved into rock,Identify this landmark: Petra. Provide a 3-day itinerary for a trip here.
7584,Coding,screenshot of a user profile card with avatar and bio,Act as a frontend developer. Convert this profile card screenshot into production-ready {tech_stack}.
7585,Data Analysis,image of a line graph showing stock price trends,Analyze this line graph. Summarize the key trend for a business executive.
7586,Fashion/Style,photo of a charcoal grey men's suit,Is this formal suit appropriate for a business casual office environment?
7587,Travel/Landmarks,photo of a traditional Japanese wooden shrine with cherry blossoms,Identify this landmark: Kyoto Shrine. Provide a 3-day itinerary for a trip here.
7588,Education,schematic diagram of a simple electrical circuit,Act as a tutor. Explain the concept shown in this circuit diagram to a chef.
7589,Education,map showing earth's tectonic plates,Solve the problem shown in this tectonic plates. Show your work step-by-step.
7590,OCR/Extraction,scan of a hospital bill with line items and insurance codes,Extract the text from this medical invoice and return it as {output_format}.
7591,Nature/Biology,photo of a spider web with dew drops,Identify this spider web. Is it poisonous or dangerous? Provide a scientific classification.
7592,Culinary/Food,photo of a gourmet burger with fries,I have these ingredients shown in the burger image. What spice should I add to elevate the flavor?
7593,Home/DIY,photo of a cracked window pane,How would you clean this broken window without damaging the material?
7594,Education,image of the periodic table of elements,Act as a tutor. Explain the concept shown in this periodic table to a developer.
7595,Home/DIY,photo of a brass tiffany-style lamp,Identify the style of this antique lamp. Suggest a color palette for a room that features this piece.
7596,OCR/Extraction,photo of a laminated dinner menu,Find the date and total amount in this restaurant menu. Return only these two values.
7597,Travel/Landmarks,photo of the Treasury at Petra carved into rock,Identify this landmark: Petra. Provide a 3-day itinerary for a trip here.
7598,Home/DIY,photo of a brass tiffany-style lamp,How would you clean this antique lamp without damaging the material?
7599,Education,labeled diagram of an animal cell,Create a quiz question based on the information in this cell structure.
7600,Fashion/Style,photo of a mannequin wearing a floral summer dress,Identify the style and era of this summer floral dress. Where could I buy something similar today?
7601,Culinary/Food,photo of a bowl of chicken curry with rice,Identify the dish in this image of curry. Estimate the calories and suggest a {dietary_restriction} alternative.
7602,Education,diagram explaining the process of photosynthesis,Act as a tutor. Explain the concept shown in this photosynthesis to a 5-year-old.
7603,Education,chart showing nutritional food groups,Solve the problem shown in this food pyramid. Show your work step-by-step.
7604,Fashion/Style,photo of a knitted wool scarf,Identify the style and era of this scarf. Where could I buy something similar today?
7605,Education,diagram of the human skeletal system,Act as a tutor. Explain the concept shown in this human skeleton to a 5-year-old.
7606,Culinary/Food,photo of a slice of rich chocolate cake on a white plate,Write a mouth-watering instagram caption for this photo of chocolate cake.
7607,OCR/Extraction,photo of an electricity bill with usage graphs,Find the date and total amount in this utility bill. Return only these two values.
7608,Creative Writing,photo of a mountain goat on a cliff,Describe this mountain goat using only metaphors and similes.
7609,Education,labeled diagram of an animal cell,Solve the problem shown in this cell structure. Show your work step-by-step.
7610,Data Analysis,image of a forex trading chart with indicators,Convert the data shown in this candlestick chart into a CSV format.
7611,Coding,screenshot of a responsive top navigation bar with dropdown menus,Identify the UI components in this navbar and list them as a JSON array for a design system.
7612,Creative Writing,photo of a spider web with dew drops,Describe this spider web using only metaphors and similes.
7613,Travel/Landmarks,photo of the Sydney Opera House at night,Translate the signage visible in this photo of Sydney Opera House into German and explain the cultural context.
7614,OCR/Extraction,scan of a hospital bill with line items and insurance codes,Find the date and total amount in this medical invoice. Return only these two values.
7615,Nature/Biology,photo of a spider web with dew drops,Identify this spider web. Is it poisonous or dangerous? Provide a scientific classification.
7616,Home/DIY,photo of a cracked window pane,How would you clean this broken window without damaging the material?
7617,Home/DIY,photo of a disorganized bookshelf filled with old books,How would you clean this messy bookshelf without damaging the material?
7618,Home/DIY,photo of a wooden mid-century modern chair,Identify the style of this mid-century chair. Suggest a color palette for a room that features this piece.
7619,Home/DIY,photo of a kitchen faucet dripping water,Look at this leaky faucet. What tools would I likely need to fix or restore it?
7620,Culinary/Food,top-down photo of avocado toast with poached eggs,Write a mouth-watering instagram caption for this photo of avocado toast.
7621,OCR/Extraction,photo of a signed residential lease contract page,Extract the text from this lease agreement and return it as {output_format}.
7622,Creative Writing,photo of a spider web with dew drops,Describe this spider web using only metaphors and similes.
7623,Education,image of the periodic table of elements,Create a quiz question based on the information in this periodic table.
7624,Home/DIY,photo of a disorganized bookshelf filled with old books,How would you clean this messy bookshelf without damaging the material?
7625,Data Analysis,image of a spider/radar chart comparing skill sets,Analyze this radar chart. Summarize the key trend for a business executive.
7626,Education,visual chart showing fraction equivalents,Act as a tutor. Explain the concept shown in this fraction chart to a college student.
7627,OCR/Extraction,photo of an electricity bill with usage graphs,Extract the text from this utility bill and return it as {output_format}.
7628,Creative Writing,photo of a blue jay perched on a tree branch,Describe this bird using only metaphors and similes.
7629,Nature/Biology,photo of a monarch butterfly on a flower,Describe the habitat where you would typically find this butterfly.
7630,Data Analysis,image of a spider/radar chart comparing skill sets,Convert the data shown in this radar chart into a CSV format.
7631,Travel/Landmarks,photo of the Statue of Liberty in New York Harbor,Identify this landmark: Statue of Liberty. Provide a 3-day itinerary for a trip here.
7632,Home/DIY,photo of a kitchen faucet dripping water,How would you clean this leaky faucet without damaging the material?
7633,Nature/Biology,macro photo of a colorful beetle on a leaf,Describe the habitat where you would typically find this strange insect.
7634,Travel/Landmarks,photo of the Treasury at Petra carved into rock,Translate the signage visible in this photo of Petra into Portuguese and explain the cultural context.
7635,Home/DIY,photo of a digital smart thermostat on a wall,Identify the style of this smart thermostat. Suggest a color palette for a room that features this piece.
7636,Creative Writing,photo of Machu Picchu ruins in the Andes,Write a {writing_style} short story opening inspired by the atmosphere in this photo of Machu Picchu.
7637,Coding,screenshot of a responsive top navigation bar with dropdown menus,Act as a frontend developer. Convert this navbar screenshot into production-ready {tech_stack}.
7638,Data Analysis,image of a sales funnel conversion chart,Convert the data shown in this funnel chart into a CSV format.
7639,Fashion/Style,photo of a pair of distressed blue jeans,Is this denim jeans appropriate for a business casual office environment?
7640,Nature/Biology,photo of a monarch butterfly on a flower,Identify this butterfly. Is it poisonous or dangerous? Provide a scientific classification.
7641,Fashion/Style,photo of a stylish felt fedora hat,Identify the style and era of this fedora hat. Where could I buy something similar today?
7642,Coding,screenshot of an e-commerce checkout flow with credit card inputs,Act as a frontend developer. Convert this checkout page screenshot into production-ready {tech_stack}.
7643,Creative Writing,photo of the Great Wall winding through mountains,Write a {writing_style} short story opening inspired by the atmosphere in this photo of Great Wall of China.
7644,OCR/Extraction,close-up of a FedEx shipping label with barcode,Find the date and total amount in this shipping label. Return only these two values.
7645,Travel/Landmarks,photo of the Pyramids of Giza in the desert,Identify this landmark: Pyramids of Giza. Provide a 3-day itinerary for a trip here.
7646,Culinary/Food,photo of a flaky croissant on a bakery shelf,Identify the dish in this image of croissant. Estimate the calories and suggest a {dietary_restriction} alternative.
7647,Data Analysis,image of a scatter plot showing distribution of customer ages,Analyze this scatter plot. Summarize the key trend for a business executive.
7648,Coding,screenshot of a minimal login form with email and password fields,Identify the UI components in this login screen and list them as a JSON array for a design system.
7649,OCR/Extraction,close-up of a FedEx shipping label with barcode,Find the date and total amount in this shipping label. Return only these two values.
7650,Nature/Biology,photo of a blue jay perched on a tree branch,Identify this bird. Is it poisonous or dangerous? Provide a scientific classification.
7651,Data Analysis,image of a histogram showing frequency distribution,Convert the data shown in this histogram into a CSV format.
7652,Fashion/Style,side-profile photo of limited edition colorful sneakers,Act as a stylist. Look at this sneakers. What accessories would you pair with this for a formal event?
7653,Data Analysis,image of a sales funnel conversion chart,Analyze this funnel chart. Summarize the key trend for a business executive.
7654,OCR/Extraction,image of a professional resume/CV,Extract the text from this resume and return it as {output_format}.
7655,Travel/Landmarks,photo of the Colosseum in Rome,Identify this landmark: Colosseum. Provide a 3-day itinerary for a trip here.
7656,Education,image of a color wheel for art theory,Act as a tutor. Explain the concept shown in this color wheel to an expert.
7657,Travel/Landmarks,photo of the Golden Gate Bridge in fog,Translate the signage visible in this photo of Golden Gate Bridge into Spanish and explain the cultural context.
7658,Travel/Landmarks,photo of Mount Fuji with snow cap,What is the best time of year to visit Mount Fuji to take a photo like this?
7659,Fashion/Style,photo of a charcoal grey men's suit,Identify the style and era of this formal suit. Where could I buy something similar today?
7660,Fashion/Style,photo of a stylish felt fedora hat,Identify the style and era of this fedora hat. Where could I buy something similar today?
7661,Travel/Landmarks,photo of the Taj Mahal reflecting in the pool,What is the best time of year to visit Taj Mahal to take a photo like this?
7662,Nature/Biology,photo of a blue jay perched on a tree branch,Identify this bird. Is it poisonous or dangerous? Provide a scientific classification.
7663,Education,chart showing nutritional food groups,Act as a tutor. Explain the concept shown in this food pyramid to a senior citizen.
7664,Home/DIY,photo of various blue paint swatches on a wall,Look at this wall paint swatches. What tools would I likely need to fix or restore it?
7665,Education,diagram showing a chemical equation,Act as a tutor. Explain the concept shown in this chemical reaction to a developer.
7666,Education,diagram of the human skeletal system,Solve the problem shown in this human skeleton. Show your work step-by-step.
7667,Fashion/Style,photo of a knitted wool scarf,Act as a stylist. Look at this scarf. What accessories would you pair with this for a formal event?
7668,Fashion/Style,photo of a mannequin wearing a floral summer dress,Act as a stylist. Look at this summer floral dress. What accessories would you pair with this for a formal event?
7669,Travel/Landmarks,photo of a traditional Japanese wooden shrine with cherry blossoms,What is the best time of year to visit Kyoto Shrine to take a photo like this?
7670,OCR/Extraction,photo of a sticky note with a to-do list in cursive ink,Find the date and total amount in this handwritten note. Return only these two values.
7671,Culinary/Food,photo of a colorful wok filled with stir-fried vegetables,Write a mouth-watering instagram caption for this photo of vegetable stir-fry.
7672,Nature/Biology,photo of a monarch butterfly on a flower,Identify this butterfly. Is it poisonous or dangerous? Provide a scientific classification.
7673,Culinary/Food,photo of a grilled salmon fillet with asparagus,Write a mouth-watering instagram caption for this photo of grilled salmon.
7674,OCR/Extraction,scan of a hospital bill with line items and insurance codes,Find the date and total amount in this medical invoice. Return only these two values.
7675,Fashion/Style,photo of a beige wool trench coat,Act as a stylist. Look at this winter coat. What accessories would you pair with this for a formal event?
7676,Travel/Landmarks,photo of the Treasury at Petra carved into rock,What is the best time of year to visit Petra to take a photo like this?
7677,Travel/Landmarks,photo of the Statue of Liberty in New York Harbor,What is the best time of year to visit Statue of Liberty to take a photo like this?
7678,Culinary/Food,photo of a fancy cocktail with a garnish on a bar counter,Identify the dish in this image of cocktail. Estimate the calories and suggest a {dietary_restriction} alternative.
7679,Education,visual chart showing fraction equivalents,Solve the problem shown in this fraction chart. Show your work step-by-step.
7680,OCR/Extraction,close-up of a FedEx shipping label with barcode,Extract the text from this shipping label and return it as {output_format}.
7681,Home/DIY,photo of a rusty garden trowel,Identify the style of this garden tool. Suggest a color palette for a room that features this piece.
7682,Travel/Landmarks,photo of the Taj Mahal reflecting in the pool,What is the best time of year to visit Taj Mahal to take a photo like this?
7683,Nature/Biology,macro photo of a colorful beetle on a leaf,Describe the habitat where you would typically find this strange insect.
7684,Culinary/Food,top-down photo of avocado toast with poached eggs,Write a mouth-watering instagram caption for this photo of avocado toast.
7685,OCR/Extraction,photo of a sticky note with a to-do list in cursive ink,Extract the text from this handwritten note and return it as {output_format}.
7686,Travel/Landmarks,photo of white houses with blue domes in Santorini,Identify this landmark: Santorini. Provide a 3-day itinerary for a trip here.
7687,Home/DIY,photo of a disorganized bookshelf filled with old books,Look at this messy bookshelf. What tools would I likely need to fix or restore it?
7688,Creative Writing,photo of the Golden Gate Bridge in fog,Write a {writing_style} short story opening inspired by the atmosphere in this photo of Golden Gate Bridge.
7689,Coding,screenshot of a user profile card with avatar and bio,Act as a frontend developer. Convert this profile card screenshot into production-ready {tech_stack}.
7690,Home/DIY,photo of a brass tiffany-style lamp,Identify the style of this antique lamp. Suggest a color palette for a room that features this piece.
7691,OCR/Extraction,image of a professional resume/CV,Find the date and total amount in this resume. Return only these two values.
7692,Education,schematic diagram of a simple electrical circuit,Solve the problem shown in this circuit diagram. Show your work step-by-step.
7693,Nature/Biology,photo of a saguaro cactus in the desert,Identify this cactus. Is it poisonous or dangerous? Provide a scientific classification.
7694,Fashion/Style,side-profile photo of limited edition colorful sneakers,Identify the style and era of this sneakers. Where could I buy something similar today?
7695,Nature/Biology,night sky photo showing the Orion constellation,Identify this constellation. Is it poisonous or dangerous? Provide a scientific classification.
7696,Coding,screenshot of a weather widget showing temperature and forecast,Identify the UI components in this weather widget and list them as a JSON array for a design system.
7697,Home/DIY,photo of a wooden mid-century modern chair,How would you clean this mid-century chair without damaging the material?
7698,Coding,screenshot of a weather widget showing temperature and forecast,Identify the UI components in this weather widget and list them as a JSON array for a design system.
7699,Fashion/Style,close-up photo of a luxury mechanical wristwatch,Is this wristwatch appropriate for a business casual office environment?
7700,Travel/Landmarks,photo of the Golden Gate Bridge in fog,Identify this landmark: Golden Gate Bridge. Provide a 3-day itinerary for a trip here.
7701,Data Analysis,image of a histogram showing frequency distribution,Analyze this histogram. Summarize the key trend for a business executive.
7702,Fashion/Style,close-up photo of a luxury mechanical wristwatch,Act as a stylist. Look at this wristwatch. What accessories would you pair with this for a formal event?
7703,Fashion/Style,side-profile photo of limited edition colorful sneakers,Is this sneakers appropriate for a business casual office environment?
7704,Creative Writing,photo of a spider web with dew drops,Describe this spider web using only metaphors and similes.
7705,Travel/Landmarks,photo of a traditional Japanese wooden shrine with cherry blossoms,Identify this landmark: Kyoto Shrine. Provide a 3-day itinerary for a trip here.
7706,Education,schematic diagram of a simple electrical circuit,Create a quiz question based on the information in this circuit diagram.
7707,Travel/Landmarks,photo of Big Ben and Parliament in London,Translate the signage visible in this photo of Big Ben into Portuguese and explain the cultural context.
7708,Education,"illustrated diagram showing evaporation, condensation, and precipitation",Solve the problem shown in this water cycle diagram. Show your work step-by-step.
7709,Home/DIY,photo of various blue paint swatches on a wall,Identify the style of this wall paint swatches. Suggest a color palette for a room that features this piece.
